Artist,Location,lat,lon
Gyasi,Nashville,36.1622767,-86.7742984
The Devils,United Kingdom,54.7023545,-3.2765753
Liam,United Kingdom,54.7023545,-3.2765753
The Devil Is Real,Seattle,47.6038321,-122.330062
Marie Jay,United States,39.7837304,-100.445882
Butterknife,Newcastle,54.9738474,-1.6131572
Status Quo,United Kingdom,54.7023545,-3.2765753
Dadju,France,46.603354,1.8883335
Khaled,Algeria,28.0000272,2.9999825
Joé Dwèt Filé,France,46.603354,1.8883335
Jungeli,France,46.603354,1.8883335
Booba,France,46.603354,1.8883335
Leto,France,46.603354,1.8883335
Favé,France,46.603354,1.8883335
Joyce Wrice,United States,39.7837304,-100.445882
Dvwn,South Korea,36.638392,127.6961188
VK Blanka,Paris,48.8588897,2.320041
Magic System,Côte d'Ivoire,7.9897371,-5.5679458
Tank,United Kingdom,54.7023545,-3.2765753
Ohbijou,Canada,61.0666922,-107.991707
Foxpaw,Arkansas,35.2048883,-92.4479108
Caravan of Thieves,United States,39.7837304,-100.445882
John Adams,United States,39.7837304,-100.445882
Sir Mix-A-Lot,United States,39.7837304,-100.445882
Faithless,United Kingdom,54.7023545,-3.2765753
Chris Linton,United Kingdom,54.7023545,-3.2765753
Winters Island,United States,39.7837304,-100.445882
TRESOR,Democratic Republic of the Congo,-2.9814344,23.8222636
The Everly Brothers,United States,39.7837304,-100.445882
Leo Sayer,United Kingdom,54.7023545,-3.2765753
Haddaway,Germany,51.1638175,10.4478313
Eugénie,France,46.603354,1.8883335
Billy Ocean,United Kingdom,54.7023545,-3.2765753
Shawn James,Germany,51.1638175,10.4478313
Łaszewo,Santa Barbara,34.4221319,-119.702667
Missy Elliott,United States,39.7837304,-100.445882
House Of Pain,United States,39.7837304,-100.445882
GEMS,United States,39.7837304,-100.445882
White Hinterland,United States,39.7837304,-100.445882
Trick Daddy,United States,39.7837304,-100.445882
Fort Minor,United States,39.7837304,-100.445882
The Italians,United Kingdom,54.7023545,-3.2765753
Tony Tabbi,United States,39.7837304,-100.445882
Ben Palmer,United Kingdom,54.7023545,-3.2765753
Fazerdaze,New Zealand,-41.5000831,172.8344077
Kendrick Banks,United States,39.7837304,-100.445882
Enzo Iwamura,France,46.603354,1.8883335
The Hunna,United Kingdom,54.7023545,-3.2765753
WINEHOUSE,United Kingdom,54.7023545,-3.2765753
The Modern Lovers,United States,39.7837304,-100.445882
Nat & Alex Wolff,New York,40.7127281,-74.0060152
Hailey Knox,United States,39.7837304,-100.445882
Jonathan Raviv,United States,39.7837304,-100.445882
Ricky Allan,Puerto Rico,18.2247706,-66.4858295
Cy Coleman,United States,39.7837304,-100.445882
BigRicePiano,Germany,51.1638175,10.4478313
Elijah Lee,United States,39.7837304,-100.445882
Namoo Nara,Brazil,-10.3333333,-53.2
Harris Cole,United States,39.7837304,-100.445882
The Original Broadway Cast Of School Of Rock,United Kingdom,54.7023545,-3.2765753
Michelle Weeks,United States,39.7837304,-100.445882
JHAYCO,Puerto Rico,18.2247706,-66.4858295
Marissa Bode,United States,39.7837304,-100.445882
Arrested Youth,United States,39.7837304,-100.445882
JIMEK,Poland,52.215933,19.134422
ARTHUR,United Kingdom,54.7023545,-3.2765753
Lil Dave,United States,39.7837304,-100.445882
Shawn Hook,United States,39.7837304,-100.445882
Vincent Bugozi,United States,39.7837304,-100.445882
Youssoupha,France,46.603354,1.8883335
DJ Babs,Sweden,59.6749712,14.5208584
Vivaldi Chamber Music Orchestra,Italy,42.6384261,12.674297
Indika Sam,United States,39.7837304,-100.445882
CONSTANCE,United States,39.7837304,-100.445882
Leon Alex,United States,39.7837304,-100.445882
Wasuremono,Bath,51.3813864,-2.3596963
Stars,Montréal,45.5031824,-73.5698065
Pendulum,Australia,-24.7761086,134.755
Ethan Nestor,Sweden,59.6749712,14.5208584
Double Take,United Kingdom,54.7023545,-3.2765753
Anime OverDrive,Italy,42.6384261,12.674297
Tom Felton,Wales,52.2928116,-3.73893
Chase & Status,United Kingdom,54.7023545,-3.2765753
Bola Ji,United Kingdom,54.7023545,-3.2765753
Small Daddy,United Kingdom,54.7023545,-3.2765753
Warner,United Kingdom,54.7023545,-3.2765753
Gutta Twins,United Kingdom,54.7023545,-3.2765753
Kasi3,Uganda,1.5333554,32.2166578
Salvatore Inc.,Italy,42.6384261,12.674297
Life After Youth,Texas,31.2638905,-98.5456116
HeathcliffTheBandit,Grand Rapids,42.9632425,-85.6678639
Bolides,France,46.603354,1.8883335
Trinix,France,46.603354,1.8883335
Kids Return,Germany,51.1638175,10.4478313
Havana,United Kingdom,54.7023545,-3.2765753
KEiiNO,Norway,61.1529386,8.7876653
Charlotte Fever,Germany,51.1638175,10.4478313
Jovani,Lithuania,55.3500003,23.7499997
B-OK,United States,39.7837304,-100.445882
Fake A Smile,Bournemouth,50.7201514,-1.8799118
Calica,United States,39.7837304,-100.445882
LU KALA,Canada,61.0666922,-107.991707
Reyanna Maria,Melbourne,-37.8142454,144.9631732
Raaban,Borås,57.7210839,12.9407407
MishCatt,Costa Rica,10.2735633,-84.0739102
SKAAR,Norway,61.1529386,8.7876653
Alex Holtti,United States,39.7837304,-100.445882
Stardust,Japan,36.5748441,139.2394179
Burak Yeter,Netherlands,52.2434979,5.6343227
Justin Jesso,United States,39.7837304,-100.445882
Jade,United States,39.7837304,-100.445882
Campsite Dream,Germany,51.1638175,10.4478313
Rea Garvey,Germany,51.1638175,10.4478313
Hyperclap,Berlin,52.5173885,13.3951309
Marc Jordan,Germany,51.1638175,10.4478313
Little River Band,Australia,-24.7761086,134.755
America,United States,39.7837304,-100.445882
Leif Erikson,United Kingdom,54.7023545,-3.2765753
Twan Ray,United States,39.7837304,-100.445882
Tungevaag,Norway,61.1529386,8.7876653
Todd Rundgren,United States,39.7837304,-100.445882
Robbie Dupree,United States,39.7837304,-100.445882
Holy Hive,New York,40.7127281,-74.0060152
Jackson Browne,United States,39.7837304,-100.445882
Young Gun Silver Fox,London,51.5074456,-0.1277653
Mild Orange,New Zealand,-41.5000831,172.8344077
Iain Matthews,United Kingdom,54.7023545,-3.2765753
Randy Goodrum,United States,39.7837304,-100.445882
Chuck Senrick,United States,39.7837304,-100.445882
David Roberts,England,52.5310214,-1.2649062
Gary Wright,United Kingdom,54.7023545,-3.2765753
Stephen Bishop,United States,39.7837304,-100.445882
Jonathan Jeremiah,United Kingdom,54.7023545,-3.2765753
John De Sohn,Sweden,59.6749712,14.5208584
Carl Brave x Franco126,United States,39.7837304,-100.445882
SAINt JHN,Guyana,4.8417097,-58.6416891
GIUMO,Milano,45.4641943,9.1896346
DYSTINCT,Belgium,50.6402809,4.6667145
Charly Black,United Kingdom,54.7023545,-3.2765753
INJI,Philadelphia,39.9527237,-75.1635262
Carl Storm,United States,39.7837304,-100.445882
Hugo Helmig,Denmark,55.670249,10.3333283
Tom Leeb,Wales,52.2928116,-3.73893
Gemitaiz,Italy,42.6384261,12.674297
Beny Jr,Cuba,23.0131338,-80.8328748
Massimo Pericolo,Italy,42.6384261,12.674297
VVAVES,Germany,51.1638175,10.4478313
Wave Wave,Japan,36.5748441,139.2394179
Lü,Mexico,23.6585116,-102.0077097
Lily Forte,United Kingdom,54.7023545,-3.2765753
Roxy Tones,United Kingdom,54.7023545,-3.2765753
Pyke & Muñoz,United States,39.7837304,-100.445882
Middle Part,Estonia,58.7523778,25.3319078
Ashton Irwin,Finland,63.2467777,25.9209164
Vide,United States,39.7837304,-100.445882
La Fanfarria del Capitán,Argentina,-34.9964963,-64.9672817
Les Très Bien Ensemble,Spain,39.3260685,-4.8379791
Gerry & The Pacemakers,United Kingdom,54.7023545,-3.2765753
Rampa,Berlin,52.5173885,13.3951309
Henri Purnell,France,46.603354,1.8883335
BOI,United States,39.7837304,-100.445882
RuthAnne,Dublin,53.3493795,-6.2605593
Hēir,United States,39.7837304,-100.445882
Swan Williams,United States,39.7837304,-100.445882
Rocco Hunt,Italy,42.6384261,12.674297
Cosimo,Italy,42.6384261,12.674297
Damso,Belgium,50.6402809,4.6667145
JUNG,Germany,51.1638175,10.4478313
DTF,France,46.603354,1.8883335
Maes,France,46.603354,1.8883335
Moha La Squale,France,46.603354,1.8883335
Harley,Kokomo,40.4864444,-86.1336351
Ellen Krauss,Sweden,59.6749712,14.5208584
Jacko Brango,Poland,52.215933,19.134422
Chłodno,Poland,52.215933,19.134422
Lipiński,Poland,52.215933,19.134422
Filip Sterne,Poland,52.215933,19.134422
Na Wpół Ślepy Człowiek,United States,39.7837304,-100.445882
EWAVE,Genève,46.2017559,6.1466014
DANU,Ireland,52.865196,-7.9794599
