Artist,Location,lat,lon
Loreen,Sweden,59.6749712,14.5208584
The Cinematic Orchestra,United Kingdom,54.7023545,-3.2765753
KXLLSWXTCH,Orange County,33.750631,-117.8722311
Mae Stephens,Shrewsbury,52.707755,-2.7540658
Julia Wieniawa,Warsaw,52.2333742,21.0711489
Mrozu,Poland,52.215933,19.134422
Vito Bambino,Poland,52.215933,19.134422
Kamil Bednarek,Poland,52.215933,19.134422
Grubson,Poland,52.215933,19.134422
Honorata Skarbek,Poland,52.215933,19.134422
Brodka,Poland,52.215933,19.134422
Sara James,Germany,51.1638175,10.4478313
Oliver Gigon,Germany,51.1638175,10.4478313
CHASE B,United States,39.7837304,-100.445882
KUTE,Russia,64.6863136,97.7453061
Lor,Kraków,50.0619474,19.9368564
ThxSoMch,Toronto,43.6534817,-79.3839347
t.A.T.u.,Russia,64.6863136,97.7453061
Perfect,Poland,52.215933,19.134422
Jeden Osiem L,Poland,52.215933,19.134422
Joker Out,Slovenia,46.1199444,14.8153333
WaluśKraksaKryzys,Poland,52.215933,19.134422
Aerodrom,Croatia,45.3658443,15.6575209
Matteo Romano,Italy,42.6384261,12.674297
JEREMIAS,Hannover,52.3744779,9.7385532
natori,Texas,31.2638905,-98.5456116
Only The Poets,Reading,51.4514953,-0.9836342
Dutch Melrose,Los Angeles,34.0536909,-118.242766
Ron Sexsmith,Canada,61.0666922,-107.991707
Coolio,United States,39.7837304,-100.445882
Kayah,Poland,52.215933,19.134422
Waka Flocka Flame,United States,39.7837304,-100.445882
Shaggy,Jamaica,18.1850507,-77.3947693
Teriyaki Boyz,Japan,36.5748441,139.2394179
Luciano,Italy,42.6384261,12.674297
Noreaga,United States,39.7837304,-100.445882
Power of Sound,Ireland,52.865196,-7.9794599
Jay Sean,United Kingdom,54.7023545,-3.2765753
Icandy,Florida,27.7567667,-81.4639835
Janelle Monáe,United States,39.7837304,-100.445882
Victoria Monét,United States,39.7837304,-100.445882
Summer Walker,United States,39.7837304,-100.445882
Kaliii,United States,39.7837304,-100.445882
DJ Drama,United States,39.7837304,-100.445882
Masego,United States,39.7837304,-100.445882
Anderson .Paak,United States,39.7837304,-100.445882
OG MarlynMonROLLUP,Brooklyn,40.6526006,-73.9497211
Doechii,United States,39.7837304,-100.445882
Lola Brooke,United States,39.7837304,-100.445882
Thundercat,United States,39.7837304,-100.445882
Jordan Ward,United States,39.7837304,-100.445882
Wizkid,Nigeria,9.6000359,7.9999721
NxWorries,United States,39.7837304,-100.445882
Kanii,United States,39.7837304,-100.445882
Killer Mike,United States,39.7837304,-100.445882
Hailey Knox,United States,39.7837304,-100.445882
Willow Kayne,Bristol,51.4538022,-2.5972985
Azealia Banks,United States,39.7837304,-100.445882
Lay Bankz,United States,39.7837304,-100.445882
Rayana Jay,Richmond,37.5385087,-77.43428
PHABO,Los Angeles,34.0536909,-118.242766
AG Club,United Kingdom,54.7023545,-3.2765753
Remi Wolf,Germany,51.1638175,10.4478313
Ravyn Lenae,United States,39.7837304,-100.445882
Larry June,United States,39.7837304,-100.445882
Barney Bones,United States,39.7837304,-100.445882
Monaleo,Houston,29.7589382,-95.3676974
SahBabii,United States,39.7837304,-100.445882
Odetari,Houston,29.7589382,-95.3676974
